layer,feature_id,active_count,active_fraction,total_activation,mean_activation_when_active,max_activation,sae_folder
18,7385,39,0.008900045641259699,12943.889343261719,331.8945985451723,569.6595458984375,resid_post_all/layer_18_width_16k_l0_small
18,8575,39,0.008900045641259699,11823.575256347656,303.16859631660657,400.1497802734375,resid_post_all/layer_18_width_16k_l0_small
18,6298,39,0.008900045641259699,9985.662139892578,256.04261897160455,332.84625244140625,resid_post_all/layer_18_width_16k_l0_small
18,1881,38,0.00867183934276586,17287.093505859375,454.9235133120888,751.239990234375,resid_post_all/layer_18_width_16k_l0_small
18,937,38,0.00867183934276586,16207.41015625,426.5107935855263,821.8182983398438,resid_post_all/layer_18_width_16k_l0_small
18,506,38,0.00867183934276586,15000.498931884766,394.7499718917044,750.1474609375,resid_post_all/layer_18_width_16k_l0_small
18,2198,38,0.00867183934276586,14206.014038085938,373.84247468647203,706.9339599609375,resid_post_all/layer_18_width_16k_l0_small
18,1137,38,0.00867183934276586,12985.681640625,341.7284642269737,543.09033203125,resid_post_all/layer_18_width_16k_l0_small
18,9550,38,0.00867183934276586,12292.1240234375,323.47694798519734,457.03570556640625,resid_post_all/layer_18_width_16k_l0_small
18,2647,38,0.00867183934276586,11712.754028320312,308.230369166324,525.8475341796875,resid_post_all/layer_18_width_16k_l0_small
18,14223,38,0.00867183934276586,11330.800231933594,298.17895347193667,454.64501953125,resid_post_all/layer_18_width_16k_l0_small
18,12689,38,0.00867183934276586,11098.204071044922,292.05800186960323,393.37396240234375,resid_post_all/layer_18_width_16k_l0_small
18,1910,38,0.00867183934276586,10101.666107177734,265.83331860994036,378.2777099609375,resid_post_all/layer_18_width_16k_l0_small
18,9011,38,0.00867183934276586,8110.518280029297,213.43469157971833,290.0283203125,resid_post_all/layer_18_width_16k_l0_small
18,14300,37,0.008443633044272023,16512.222259521484,446.2762772843644,955.1566162109375,resid_post_all/layer_18_width_16k_l0_small
18,312,37,0.008443633044272023,13006.480102539062,351.5264892578125,614.8038940429688,resid_post_all/layer_18_width_16k_l0_small
18,3711,37,0.008443633044272023,12329.104461669922,333.2190395045925,530.3350219726562,resid_post_all/layer_18_width_16k_l0_small
18,9789,37,0.008443633044272023,12225.906646728516,330.42990937104094,713.1451416015625,resid_post_all/layer_18_width_16k_l0_small
18,3185,37,0.008443633044272023,11062.636474609375,298.99017498944255,474.3092041015625,resid_post_all/layer_18_width_16k_l0_small
18,6644,37,0.008443633044272023,10941.102844238281,295.7054822767103,435.15789794921875,resid_post_all/layer_18_width_16k_l0_small
18,1657,36,0.008215426745778184,14709.264892578125,408.5906914605035,865.8543701171875,resid_post_all/layer_18_width_16k_l0_small
18,3678,36,0.008215426745778184,10730.09292602539,298.05813683403863,435.6715087890625,resid_post_all/layer_18_width_16k_l0_small
18,4382,36,0.008215426745778184,10508.530410766602,291.9036225212945,500.1518859863281,resid_post_all/layer_18_width_16k_l0_small
18,8630,36,0.008215426745778184,10206.85221862793,283.52367273966473,362.74969482421875,resid_post_all/layer_18_width_16k_l0_small
18,10429,35,0.007987220447284345,17844.665008544922,509.84757167271204,901.9766845703125,resid_post_all/layer_18_width_16k_l0_small
18,6315,35,0.007987220447284345,17550.35287475586,501.43865356445315,684.76806640625,resid_post_all/layer_18_width_16k_l0_small
18,10384,35,0.007987220447284345,13709.461181640625,391.69889090401784,630.0088500976562,resid_post_all/layer_18_width_16k_l0_small
18,7574,35,0.007987220447284345,12043.644012451172,344.10411464146205,531.89306640625,resid_post_all/layer_18_width_16k_l0_small
18,7011,35,0.007987220447284345,11258.034469604492,321.6581277029855,520.0979614257812,resid_post_all/layer_18_width_16k_l0_small
18,6179,35,0.007987220447284345,9859.177185058594,281.6907767159598,411.73248291015625,resid_post_all/layer_18_width_16k_l0_small
18,2570,35,0.007987220447284345,8856.299743652344,253.0371355329241,326.2303161621094,resid_post_all/layer_18_width_16k_l0_small
18,449,34,0.007759014148790507,19748.325744628906,580.8331101361443,2465.49560546875,resid_post_all/layer_18_width_16k_l0_small
18,125,34,0.007759014148790507,18233.394134521484,536.2762980741613,1285.2437744140625,resid_post_all/layer_18_width_16k_l0_small
18,99,34,0.007759014148790507,17574.39727783203,516.894037583295,858.0928955078125,resid_post_all/layer_18_width_16k_l0_small
18,5362,34,0.007759014148790507,15709.61181640625,462.0474063648897,852.81396484375,resid_post_all/layer_18_width_16k_l0_small
18,10025,34,0.007759014148790507,13543.669982910156,398.3432347914752,563.3043823242188,resid_post_all/layer_18_width_16k_l0_small
18,3956,34,0.007759014148790507,12604.913970947266,370.7327638513902,506.8155822753906,resid_post_all/layer_18_width_16k_l0_small
18,1096,34,0.007759014148790507,11425.174926757812,336.0345566693474,572.5904541015625,resid_post_all/layer_18_width_16k_l0_small
18,6212,34,0.007759014148790507,11377.765533447266,334.640162748449,558.7297973632812,resid_post_all/layer_18_width_16k_l0_small
18,2565,34,0.007759014148790507,11187.974487304688,329.0580731560202,459.5972595214844,resid_post_all/layer_18_width_16k_l0_small
18,5325,34,0.007759014148790507,10981.980560302734,322.99942824419804,439.5275573730469,resid_post_all/layer_18_width_16k_l0_small
